cbsa,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
13900,44343.67838416577,45991.0,-1647.321615834233,1723.0,1616.947724100491,True,True
16220,41643.46588079211,42188.0,-544.5341192078922,1903.0,1345.825258350952,True,True
37100,49899.21173961823,49748.0,151.21173961822933,684.0,721.8507523056168,True,True
10780,30441.305645935965,30953.0,-511.694354064035,931.0,722.8631836767487,True,True
32580,23105.075323337685,23117.0,-11.924676662314596,475.0,454.82873349473863,True,True
28700,33561.97214839601,34596.0,-1034.0278516039907,815.0,660.1491228403468,False,True
40220,39468.289887279134,40698.0,-1229.7101127208662,956.0,943.9847474044781,False,True
27780,34037.973916524505,34692.0,-654.0260834754954,1276.0,1085.3810993227526,True,True
29540,42583.82530970157,43128.0,-544.1746902984305,611.0,747.3435432566475,True,True
41540,40058.41713538585,36173.0,3885.4171353858474,1375.0,1197.3487215360915,False,False
14500,61717.9422946495,62436.0,-718.0577053504967,1617.0,1151.0056029879595,True,True
26140,36951.97968855876,36732.0,219.9796885587566,1693.0,1544.1017062573887,True,True
34940,60694.38059778225,62079.0,-1384.6194022177515,1462.0,1381.466140750435,True,True
37860,39367.17509575768,39071.0,296.17509575768054,706.0,786.1005591789772,True,True
44140,38878.853319123504,38219.0,659.8533191235038,597.0,758.6315237789372,False,True
25620,32683.6505952649,34172.0,-1488.3494047351014,1637.0,1592.8977070551255,True,True
39580,51714.424389523374,51873.0,-158.57561047662603,530.0,632.9301164009029,True,True
16740,46147.12637130644,46738.0,-590.87362869356,367.0,387.76455006088133,False,False
47460,38516.62795648188,38208.0,308.6279564818833,1613.0,1443.5541843053065,True,True
15940,37154.630555943375,36664.0,490.63055594337493,676.0,743.0955930003804,True,True
18700,42176.21474109527,45624.0,-3447.7852589047325,1756.0,2331.1105729945416,False,False
43900,34015.26284009446,33580.0,435.26284009445953,673.0,744.706126977301,True,True
14260,43344.88373269555,43624.0,-279.1162673044528,764.0,716.9209791055468,True,True
26820,34854.97379034144,34977.0,-122.02620965855749,1121.0,935.1957460088412,True,True
39540,41266.84315679085,41162.0,104.8431567908483,1061.0,1595.1013657534768,True,True
11540,43547.41279727201,46727.0,-3179.587202727991,2674.0,996.9227297198826,False,False
21140,32759.649259933143,32936.0,-176.35074006685682,883.0,900.4959454087063,True,True
47940,37188.42182269189,38690.0,-1501.5781773081108,974.0,1229.7555358000222,False,True
11180,40019.87558363596,39347.0,672.8755836359633,1338.0,1651.0993215126746,True,True
25740,41037.491459325174,44973.0,-3935.508540674826,1341.0,1178.529264522107,False,False
16940,42549.58914279948,42871.0,-321.4108572005207,1937.0,1578.0920370829238,True,True
41940,79285.42511281818,79109.0,176.4251128181786,693.0,754.7525622193689,True,True
42100,58142.6964712159,56941.0,1201.6964712159024,1210.0,1595.5231548896097,True,True
12940,37416.94124667987,37693.0,-276.0587533201324,642.0,601.3421653353201,True,True
